iter	Logloss
0	0.6671891264
1	0.6508298056
2	0.6332813574
3	0.6114005292
4	0.5918111475
5	0.5773402517
6	0.5584187937
7	0.549439113
8	0.5320295308
9	0.5216117621
10	0.515578619
11	0.5102907116
12	0.5004737059
13	0.4927119916
14	0.4850429079
15	0.4789141162
16	0.4712568571
17	0.4628191858
18	0.4564425279
19	0.454295949
20	0.4485874443
21	0.4442666522
22	0.439536697
23	0.4335290173
24	0.4306769395
25	0.4226306442
26	0.4177047416
27	0.4122255713
28	0.406967912
29	0.4060578924
30	0.4008971308
31	0.397521102
32	0.3944965347
33	0.3907790658
34	0.3865408809
35	0.3830484457
36	0.3805147164
37	0.3758501283
38	0.374579549
39	0.3706091902
40	0.3654359201
41	0.3616337726
42	0.3604050931
43	0.3550808209
44	0.3540405667
45	0.353862841
46	0.3532384591
47	0.35204599
48	0.3484613458
49	0.3467822427
50	0.343144919
51	0.3396969773
52	0.337937465
53	0.3346957677
54	0.3329532263
55	0.329566716
56	0.3246708339
57	0.3190740426
58	0.3171749514
59	0.3129869621
60	0.312937809
61	0.3101340466
62	0.3078332404
63	0.3035464923
64	0.2997602714
65	0.2958816182
66	0.2954976087
67	0.2921805473
68	0.2911154609
69	0.2887577984
70	0.2869327095
71	0.2860292252
72	0.2844806731
73	0.2815654817
74	0.2801845344
75	0.2787227749
76	0.2762756064
77	0.2738623205
78	0.2738435976
79	0.2720391826
80	0.2692740681
81	0.2669774928
82	0.266975293
83	0.2654100641
84	0.263463219
85	0.2622225911
86	0.2605183221
87	0.2603693691
88	0.2585712255
89	0.2566154376
90	0.2543396732
91	0.2520303602
92	0.2496511096
93	0.2476655037
94	0.2460342044
95	0.2444638092
96	0.2426626045
97	0.2396233964
98	0.2392781051
99	0.2365551639
100	0.2365536042
101	0.2349921944
102	0.2335046712
103	0.2326469503
104	0.2316472943
105	0.2291614132
106	0.2279492905
107	0.2258783721
108	0.2239316853
109	0.2202661342
110	0.21958122
111	0.2190920358
112	0.2176785626
113	0.2160498509
114	0.2153358238
115	0.214781213
116	0.2145166439
117	0.2131140934
118	0.2122735071
119	0.2102578256
120	0.2095858967
121	0.209125021
122	0.2086691533
123	0.2085604302
124	0.2079800716
125	0.2063150443
126	0.2056407094
127	0.2054868657
128	0.2049106574
129	0.2034127294
130	0.2024007314
131	0.1999765139
132	0.1998309637
133	0.1991054645
134	0.1983122166
135	0.1969542632
136	0.1965516359
137	0.194907426
138	0.1945880855
139	0.19342135
140	0.1912396884
141	0.1904891685
142	0.1901199271
143	0.1887578499
144	0.1886248086
145	0.1877276034
146	0.1859976218
147	0.1847813493
148	0.1830282489
149	0.1828061897
150	0.1816809133
151	0.1815615734
152	0.1802741796
153	0.179990105
154	0.1797798497
155	0.1794497817
156	0.1788155925
157	0.1764924739
158	0.1759245429
159	0.174600689
160	0.1744378096
161	0.1736617591
162	0.1733901892
163	0.1724250072
164	0.1719921162
165	0.1705925155
166	0.1700922911
167	0.1696724596
168	0.169457788
169	0.1692753437
170	0.1689334754
171	0.1684188675
172	0.1679906045
173	0.167037212
174	0.166064729
175	0.1654454179
176	0.1646417378
177	0.1641910797
178	0.1635265108
179	0.1625884942
180	0.1621801881
181	0.1617931374
182	0.1610405607
183	0.1609406917
184	0.1594318233
185	0.1593243414
186	0.1570031849
187	0.1556382355
188	0.1547230413
189	0.1544312634
190	0.15417728
191	0.1540835313
192	0.1534194531
193	0.1518522121
