iter	Logloss
194	0.151612262
195	0.1501131255
196	0.1489534741
197	0.1480231577
198	0.1469889809
199	0.1464385493
200	0.1456914251
201	0.1455761728
202	0.1454786289
203	0.1440812618
204	0.1425313297
205	0.1422029102
206	0.1416131126
207	0.1413672165
208	0.1403686735
209	0.1398831464
210	0.1392128036
211	0.1387015279
212	0.1380223565
213	0.1374360068
214	0.1371940734
215	0.1357725817
216	0.1351063764
217	0.1345730538
218	0.1335633365
219	0.132904202
220	0.1327928529
221	0.132370874
222	0.1315164067
223	0.130734942
224	0.1291418226
225	0.127753701
226	0.1276541513
227	0.1271808063
228	0.1267054465
229	0.1264242443
230	0.1246847192
231	0.1234761536
232	0.1227386127
233	0.1226967416
234	0.1224766518
235	0.1221386117
236	0.1216764623
237	0.1204180366
238	0.1197067112
239	0.1190784595
240	0.1184744716
241	0.1178336649
242	0.1172550816
243	0.1170249179
244	0.1162100729
245	0.1160280549
246	0.1152402869
247	0.1150096297
248	0.1146090245
249	0.1142702552
250	0.1136811072
251	0.1129670024
252	0.1115971681
253	0.1113361759
254	0.1103745367
255	0.1093937377
256	0.1085184626
257	0.1082815166
258	0.1076908322
259	0.1074872828
260	0.1071612977
261	0.1068776312
262	0.1064506308
263	0.1059951083
264	0.1057077977
265	0.1052189764
266	0.1049488718
267	0.1048868893
268	0.1044324068
269	0.1040399712
270	0.1038025014
271	0.1034771794
272	0.1033277808
273	0.1032613074
274	0.1031344145
275	0.1022934353
276	0.101936229
277	0.1017716375
278	0.101272275
279	0.1010051754
280	0.09991108299
281	0.09959258706
282	0.0995431314
283	0.0989559292
284	0.09782865774
285	0.09735370848
286	0.09652486298
287	0.09617459762
288	0.0955378924
289	0.09548564389
290	0.09531809681
291	0.0952975265
292	0.09504984156
293	0.09404793828
294	0.09357650026
295	0.09287393107
296	0.09255720821
297	0.09213748863
298	0.09207236129
299	0.09200058707
300	0.0918658993
301	0.09159727365
302	0.09154531091
303	0.09119347586
304	0.09032252147
305	0.09007996013
306	0.08991789474
307	0.08922292563
308	0.08895522526
309	0.08816882595
310	0.08775546938
311	0.08696452807
312	0.0862355723
313	0.08560984813
314	0.08556440982
315	0.085505795
316	0.08529775284
317	0.08507832514
318	0.08493933886
319	0.08479165317
320	0.08478635728
321	0.0846086796
322	0.08427786358
323	0.0841448762
324	0.0840703546
325	0.08378505971
326	0.08336965867
327	0.08321652059
328	0.08288787138
329	0.08227233692
330	0.08207616823
331	0.08202268061
332	0.08187102133
333	0.08164694673
334	0.08105822728
335	0.08069834949
336	0.08066473289
337	0.08063424698
338	0.08015038796
339	0.07993228167
340	0.07977478749
341	0.07962625763
342	0.07902181443
343	0.07899867157
344	0.07893480174
345	0.07860833591
346	0.07838705907
347	0.07817385384
348	0.07775609805
349	0.07769792992
350	0.07738528756
351	0.07695163437
352	0.0766172319
353	0.07637570988
354	0.07585032472
355	0.07554775552
356	0.07489491776
357	0.07486404572
358	0.07482668143
359	0.07467541399
360	0.07459996037
361	0.0744763123
362	0.07414380642
363	0.07346762263
364	0.07343542304
365	0.0732607038
366	0.07316604723
367	0.07290556137
368	0.07250968052
369	0.07204490006
370	0.07177502157
371	0.07143309575
372	0.07129586534
373	0.07105630763
374	0.0709671928
375	0.07062933514
376	0.07018660571
377	0.06997370922
378	0.06921094758
379	0.06906681819
380	0.06881398051
381	0.06839543217
382	0.06832119498
383	0.06794924525
384	0.06771534656
385	0.0674183558
386	0.06716462642
387	0.06694724643
388	0.0666058313
389	0.06634703607
390	0.06622433226
391	0.06606756016
392	0.06582390416
393	0.06560774622
394	0.06557178147
395	0.0655410162
396	0.06542423713
397	0.06539629517
398	0.06533227699
399	0.06530663952
400	0.0649513348
401	0.06483279877
402	0.06475022699
403	0.06441193512
404	0.0641863713
405	0.06386126205
406	0.06349080472
407	0.0633604223
408	0.06302501877
409	0.06296559405
410	0.06268676368
411	0.06253423673
412	0.06241358118
413	0.06224457855
414	0.06193004742
415	0.06140149132
416	0.06128673978
417	0.06111367261
418	0.06089285913
419	0.06053178674
420	0.0603189773
421	0.05990064353
422	0.05981769896
423	0.05968809927
424	0.05958055005
425	0.05952553745
426	0.05934636682
427	0.0593002575
428	0.05922856537
429	0.05905962625
430	0.05893240199
431	0.0588859074
432	0.05876866254
433	0.05867894095
434	0.05853956304
435	0.05848412037
436	0.0580541942
437	0.05768793657
438	0.0574310216
439	0.05737335332
440	0.05732899931
441	0.05705443845
442	0.05697036921
443	0.05687290691
444	0.056446414
445	0.05633395414
446	0.05631049309
447	0.05614523815
448	0.0560906471
449	0.05568331519
450	0.05553393259
451	0.05551370727
452	0.05545213958
453	0.05539338914
454	0.05527712015
455	0.05514993814
456	0.05508933573
457	0.05489077062
458	0.05481897128
459	0.05473588503
460	0.0546488186
461	0.05457997512
462	0.05439536846
463	0.05429348258
464	0.054152653
465	0.05395585734
466	0.05370481476
467	0.05367296375
468	0.05365056199
469	0.05348725433
470	0.05339733648
471	0.05327306709
472	0.05325114172
473	0.05316827771
474	0.05296955702
475	0.05291107751
476	0.05281466466
477	0.05268880464
478	0.05245949207
479	0.05229908221
480	0.05222077359
481	0.05206403903
482	0.05203239151
483	0.05201514331
484	0.0519197894
485	0.05171326206
486	0.05151565674
487	0.05150112371
488	0.0514130259
489	0.05127768031
490	0.05125861091
491	0.05122702617
492	0.051138248
493	0.05085056167
494	0.05078964491
495	0.05076449568
496	0.05067019091
497	0.05065112113
498	0.05054086769
499	0.05042911943
